Title	URL	Assignees	Status	Labels	Linked pull requests	Milestone	Repository	Reviewers
 Bug fixing and adjustements in Notification screen	https://github.com/WanderPals/WanderPals/issues/228	Exino329	Done in Sprint #6	3h, Code Implementation, Sprint#6	https://github.com/WanderPals/WanderPals/pull/253		WanderPals/WanderPals	
Helping for the Figma	https://github.com/WanderPals/WanderPals/issues/210	AgeX21, annhit29	Done in Sprint #5	4h, Figma, Sprint#5			WanderPals/WanderPals	
Notifications : add notifications for suggestion/stop	https://github.com/WanderPals/WanderPals/issues/259	Exino329	Done in Sprint #6	3h, Code Implementation, Sprint#6	https://github.com/WanderPals/WanderPals/pull/264		WanderPals/WanderPals	
Updated Architecture diagram	https://github.com/WanderPals/WanderPals/pull/280	tosigame	Done in Sprint #6				WanderPals/WanderPals	mtv47
Log out from the app	https://github.com/WanderPals/WanderPals/issues/288	mtv47	In Development	2h, Code Implementation, Frontend, Sprint#7			WanderPals/WanderPals	
Remember sign in when starting the app	https://github.com/WanderPals/WanderPals/issues/289	mtv47	In Development	4h, Backend, Code Implementation, Sprint#7			WanderPals/WanderPals	
Private document screen	https://github.com/WanderPals/WanderPals/issues/290	Polo150202	In Development	4h, Backend, Code Implementation, Frontend, Sprint#7			WanderPals/WanderPals	
Group document screen	https://github.com/WanderPals/WanderPals/issues/291	Polo150202	In Development	4h, Backend, Code Implementation, Frontend, Sprint#7			WanderPals/WanderPals	
Image for the trip	https://github.com/WanderPals/WanderPals/issues/292	Polo150202	In Development	2h, Backend, Code Implementation, Frontend, Sprint#7			WanderPals/WanderPals	
Finance category screen UI	https://github.com/WanderPals/WanderPals/issues/293	Exino329	In Development	4h, Code Implementation, Frontend, Sprint#7			WanderPals/WanderPals	
Finance category screen Logic	https://github.com/WanderPals/WanderPals/issues/294	Exino329	In Development	3h, Backend, Code Implementation, Sprint#7			WanderPals/WanderPals	
Fix ViewModel tests 	https://github.com/WanderPals/WanderPals/issues/295	tosigame	In Development	4h, Backend, Code Implementation, Sprint#7			WanderPals/WanderPals	
Make fakeTripsRepository for viewModel testing	https://github.com/WanderPals/WanderPals/issues/296	tosigame	In Development	4h, Backend, Code Implementation, Sprint#7			WanderPals/WanderPals	
Fix deleteTrip	https://github.com/WanderPals/WanderPals/issues/297	tosigame	In Development	4h, Backend, Code Implementation, Sprint#7			WanderPals/WanderPals	
Finance Debt screen	https://github.com/WanderPals/WanderPals/issues/298	AgeX21	In Development	4h, Code Implementation, Frontend, Sprint#7			WanderPals/WanderPals	
Suggestion History	https://github.com/WanderPals/WanderPals/issues/299	annhit29	In Development	4h, Backend, Code Implementation, Frontend, Sprint#7			WanderPals/WanderPals	
List of all stops	https://github.com/WanderPals/WanderPals/issues/302	ForestDope	In Development	4h, Backend, Code Implementation, Frontend, Sprint#7			WanderPals/WanderPals	
Delete stops	https://github.com/WanderPals/WanderPals/issues/301	ForestDope	In Development	3h, Backend, Code Implementation, Frontend, Sprint#7			WanderPals/WanderPals	
Add marker in Agenda for clarity	https://github.com/WanderPals/WanderPals/issues/300	annhit29	In Development	3h, Code Implementation, Frontend, Sprint#7			WanderPals/WanderPals	
Refactor admin screen	https://github.com/WanderPals/WanderPals/issues/303	ForestDope	In Development	4h, Code Implementation, Frontend, Sprint#7			WanderPals/WanderPals	
Delete Expense	https://github.com/WanderPals/WanderPals/issues/304	AgeX21	In Development	2h, Backend, Code Implementation, Sprint#7			WanderPals/WanderPals	
Delete Trip	https://github.com/WanderPals/WanderPals/issues/305	AgeX21	In Development	3h, Backend, Code Implementation, Sprint#7			WanderPals/WanderPals	
